cycle,o_word
2122,-0.015625
2123,0.015625
2124,-2
2125,-2
2126,-2
2127,-2
2128,-2
2129,0
2130,0.015625
2131,-0.015625
2132,1.984375
2133,-2
2134,0
2135,-0.015625
2136,0.015625
2137,0
2138,-0.015625
2139,0.015625
2140,1.3125
2141,1.890625
2142,1.984375
2143,1.984375
2144,1.984375
2145,0
2146,0.015625
2147,-0.015625
2148,1.984375
2149,-2
2150,0
2151,-0.015625
2152,0.015625
2153,0
2154,-0.015625
2155,0.015625
2156,-2
2157,-2
2158,-2
2159,-2
2160,-2
2161,0
2162,0.015625
2163,-0.015625
2164,1.984375
2165,-2
2166,0
2167,-0.015625
2168,0.015625
2169,0
2170,-0.015625
2171,0.015625
2172,1.984375
2173,1.984375
2174,1.984375
2175,1.984375
2176,1.984375
2177,0
2178,0.015625
2179,-0.015625
2180,1.984375
2181,-2
2182,0
2183,-0.015625
2184,0.015625
2185,0
2186,-0.015625
2187,0.015625
2188,-2
2189,-2
2190,-1.78125
2191,-1.203125
2192,-0.625
2193,0
2194,0.015625
2195,-0.015625
2196,1.984375
2197,-2
2198,0
2199,-0.015625
2200,0.015625
2201,0
2202,-0.015625
2203,0.015625
2204,1.984375
2205,1.984375
2206,1.984375
2207,-2
2208,-2
2209,0
2210,0.015625
2211,-0.015625
2212,1.984375
2213,-2
2214,0
2215,-0.015625
2216,0.015625
2217,0
2218,-0.015625
2219,0.015625
2220,-0.4375
2221,0.140625
2222,0.71875
2223,1.296875
2224,1.875
2225,0
2226,0.015625
2227,-0.015625
2228,1.984375
2229,-2
2230,0
2231,-0.015625
2232,0.015625
2233,0
2234,-0.015625
2235,0.015625
2236,-2
2237,-2
2238,-2
2239,-2
2240,-2
2241,0
2242,0.015625
2243,-0.015625
2244,1.984375
2245,-2
2246,0
2247,-0.015625
2248,0.015625
2249,0
2250,-0.015625
2251,0.015625
2252,1.984375
2253,1.984375
2254,1.984375
2255,1.984375
2256,1.984375
2257,0
2258,0.015625
2259,-0.015625
2260,1.984375
2261,-2
2262,0
2263,-0.015625
2264,0.015625
2265,0
2266,-0.015625
2267,0.015625
2268,-2
2269,-2
2270,-2
2271,-2
2272,-2
2273,0
2274,0.015625
2275,-0.015625
2276,1.984375
2277,-2
2278,0
2279,-0.015625
2280,0.015625
2281,0
2282,-0.015625
2283,0.015625
2284,1.984375
2285,1.984375
2286,1.984375
2287,1.984375
2288,1.984375
2289,0
2290,0.015625
2291,-0.015625
2292,1.984375
2293,-2
2294,0
2295,-0.015625
2296,0.015625
2297,0
2298,-0.015625
2299,0.015625
2300,-2
2301,-1.609375
2302,-1.03125
2303,-0.453125
2304,0.125
2305,0
2306,0.015625
2307,-0.015625
2308,1.984375
2309,-2
2310,0
2311,-0.015625
2312,0.015625
2313,0
2314,-0.015625
2315,0.015625
2316,1.984375
2317,1.984375
2318,-2
2319,-2
2320,-2
2321,0
2322,0.015625
2323,-0.015625
2324,1.984375
2325,-2
2326,0
2327,-0.015625
2328,0.015625
2329,0
2330,-0.015625
2331,0.015625
2332,0.3125
2333,0.890625
2334,1.46875
2335,1.984375
2336,1.984375
2337,0
2338,0.015625
2339,-0.015625
2340,1.984375
2341,-2
2342,0
2343,-0.015625
2344,0.015625
2345,0
2346,-0.015625
